# This file contains the Wine dataset, which includes chemical analysis of wines for classification tasks.

"Alcohol","Malic acid","Ash","Alcalinity of ash","Magnesium","Total phenols","Flavanoids","Nonflavanoid phenols","Proanthocyanins","Color intensity","Hue","OD280/OD315 of diluted wines","Proline","Class"
14.23,1.71,2.43,15.6,127,2.80,3.06,0.28,2.29,5.64,1.04,3.92,1065,1
13.20,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.40,1050,1
13.16,2.36,2.67,18.6,101,2.80,3.24,0.30,1.50,5.68,1.03,3.17,1185,1
14.37,1.95,2.50,16.0,113,3.85,3.49,0.24,1.98,7.80,0.86,3.45,1480,1
13.24,2.59,2.87,21.5,118,2.80,3.65,0.29,1.98,4.32,1.04,3.17,735,1
14.20,1.76,2.45,15.2,112,3.27,3.39,0.24,1.85,6.75,0.92,3.45,1015,1
14.39,1.87,2.45,14.6,96,2.50,3.10,0.28,1.98,5.65,1.05,3.58,1070,1
14.06,2.15,2.61,17.6,121,2.60,2.76,0.29,1.98,5.20,1.00,3.16,1080,1
14.83,1.64,2.17,14.0,97,2.50,2.98,0.30,1.98,5.60,1.05,3.45,1080,1
13.86,1.35,2.27,16.0,98,2.50,2.76,0.29,1.85,5.20,1.00,3.16,1080,1
...
